siteswap,balls,max throw,canonical form,is canonical,date,animate,gif
28380111, 3, 8, 83801112, false, Mon Jan 11 2838, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzgwMTExIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28380111
28380119, 4, 9, 92838011, false, Tue Jan 19 2838, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzgwMTE5IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28380119
28380120, 3, 8, 83801202, false, Wed Jan 20 2838, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzgwMTIwIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28380120
28380128, 4, 8, 83801282, false, Thu Jan 28 2838, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzgwMTI4IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28380128
28380201, 3, 8, 83802012, false, Mon Feb 01 2838, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzgwMjAxIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28380201
28380209, 4, 9, 92838020, false, Tue Feb 09 2838, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzgwMjA5IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28380209
28380227, 4, 8, 83802272, false, Sat Feb 27 2838, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzgwMjI3IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28380227
28380308, 4, 8, 83803082, false, Mon Mar 08 2838, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzgwMzA4IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28380308
28380317, 4, 8, 83803172, false, Wed Mar 17 2838, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzgwMzE3IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28380317
28380911, 4, 9, 91128380, false, Sat Sep 11 2838, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzgwOTExIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28380911
28380919, 5, 9, 92838091, false, Sun Sep 19 2838, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzgwOTE5IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28380919
28380920, 4, 9, 92028380, false, Mon Sep 20 2838, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzgwOTIwIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28380920
28380928, 5, 9, 92828380, false, Tue Sep 28 2838, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzgwOTI4IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28380928
28400226, 3, 8, 84002262, false, Sun Feb 26 2840, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4NDAwMjI2IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28400226
